Instance,Makespan,all_time,solve_time
"JobShopInstance(name=Ta22_F.txt, num_jobs=20, num_machines=20)",5168.0,0.006598472595214844,0.007653474807739258
"JobShopInstance(name=FT06_F.txt, num_jobs=6, num_machines=6)",84.0,0.00030159950256347656,0.0004024505615234375
"JobShopInstance(name=LA36_S.txt, num_jobs=15, num_machines=15)",3224.5,0.0030524730682373047,0.003469705581665039
"JobShopInstance(name=Ta51_F.txt, num_jobs=50, num_machines=15)",5693.0,0.02447962760925293,0.025806427001953125
"JobShopInstance(name=FT20_T.txt, num_jobs=20, num_machines=5)",1639.0,0.0014226436614990234,0.0016536712646484375
"JobShopInstance(name=Ta37_F.txt, num_jobs=30, num_machines=15)",4634.0,0.009702205657958984,0.010492801666259766
"JobShopInstance(name=Ta77_F.txt, num_jobs=100, num_machines=20)",15577.0,0.12242245674133301,0.16731500625610352
"JobShopInstance(name=LA21_F.txt, num_jobs=15, num_machines=10)",2225.0,0.002043485641479492,0.0023763179779052734
"JobShopInstance(name=Ta20_F.txt, num_jobs=20, num_machines=15)",3588.0,0.004866361618041992,0.005427122116088867
"JobShopInstance(name=LA38_F.txt, num_jobs=15, num_machines=15)",2881.0,0.0030159950256347656,0.003435373306274414
"JobShopInstance(name=LA39_S.txt, num_jobs=15, num_machines=15)",2938.0,0.0029914379119873047,0.0034384727478027344
"JobShopInstance(name=Ta41_F.txt, num_jobs=30, num_machines=20)",6223.0,0.01318359375,0.014546632766723633
"JobShopInstance(name=LA01_G.txt, num_jobs=10, num_machines=5)",1041.5,0.0005352497100830078,0.0006642341613769531
"JobShopInstance(name=LA40_S.txt, num_jobs=15, num_machines=15)",2994.75,0.003031015396118164,0.003451824188232422
"JobShopInstance(name=ORB05_Z.txt, num_jobs=10, num_machines=10)",1478.25,0.0010759830474853516,0.0012760162353515625
"JobShopInstance(name=Ta11_F.txt, num_jobs=20, num_machines=15)",3533.0,0.004986763000488281,0.0055272579193115234
"JobShopInstance(name=LA24_S.txt, num_jobs=15, num_machines=10)",1999.75,0.0019812583923339844,0.0022678375244140625
"JobShopInstance(name=Ta67_F.txt, num_jobs=50, num_machines=20)",9165.0,0.03281116485595703,0.03452897071838379
"JobShopInstance(name=Ta34_F.txt, num_jobs=30, num_machines=15)",5192.0,0.010088682174682617,0.010925769805908203
"JobShopInstance(name=Ta28_F.txt, num_jobs=20, num_machines=20)",5494.0,0.0064792633056640625,0.0071866512298583984
"JobShopInstance(name=Ta38_F.txt, num_jobs=30, num_machines=15)",4516.0,0.009876012802124023,0.01067972183227539
"JobShopInstance(name=Ta02_F.txt, num_jobs=15, num_machines=15)",2568.0,0.002921581268310547,0.0033721923828125
"JobShopInstance(name=LA29_F.txt, num_jobs=20, num_machines=10)",2501.0,0.0031278133392333984,0.0034835338592529297
"JobShopInstance(name=LA12_G.txt, num_jobs=20, num_machines=5)",1541.0,0.0015103816986083984,0.001718759536743164
"JobShopInstance(name=S10.4.txt, num_jobs=10, num_machines=10)",80.0,0.0010530948638916016,0.0012369155883789062
"JobShopInstance(name=Ta26_F.txt, num_jobs=20, num_machines=20)",5162.0,0.006325483322143555,0.007065534591674805
