Instance,Makespan,Time
Ta59_F.txt,3687.0,9.241484642028809
LA38_F.txt,2073.0,1.0845389366149902
Lei02.txt,254.5,0.6123828887939453
LA05_G.txt,882.75,0.4544401168823242
LA02_S.txt,937.0,0.42556285858154297
S10.3.txt,188.25,0.7952141761779785
Ta66_F.txt,4345.25,15.001998662948608
Ta50_F.txt,2978.25,5.560240030288696
FT06_L.txt,74.0,0.329453706741333
Ta16_F.txt,2178.5,1.6950953006744385
Ta36_F.txt,2734.0,3.244232177734375
Ta10_F.txt,1903.0,1.087036371231079
Ta30_F.txt,2898.75,2.6422083377838135
ABZ6_Z.txt,1407.75,0.8040564060211182
S10.4.txt,72.0,0.9024503231048584
LA11_F.txt,1377.0,0.36943936347961426
Ta32_F.txt,2965.5,3.2816126346588135
FT10_G.txt,1443.0,0.805168628692627
Ta74_F.txt,7151.25,69.26402449607849
Ta45_F.txt,3253.25,5.576454162597656
LA07_G.txt,1207.25,0.25501441955566406
Ta61_F.txt,4176.75,14.96306037902832
LA22_Z.txt,1318.5,0.6190359592437744
FT06_F.txt,80.25,0.33446550369262695
Ta71_F.txt,7185.75,68.93718266487122
FT20_G.txt,1649.75,0.36806321144104004
LA29_S.txt,1884.25,0.931410551071167
Ta13_F.txt,2051.25,1.6934020519256592
Ta52_F.txt,4074.5,8.501220941543579
LA12_F.txt,1339.0,0.36945343017578125
LA40_F.txt,1937.0,1.0935168266296387
Ta06_F.txt,1809.25,1.094395399093628
Ta54_F.txt,4279.0,8.489548683166504
Ta31_F.txt,2726.5,3.2770304679870605
LP01.txt,311.5,1.3175582885742188
LA27_S.txt,1980.5,0.9242873191833496
Ta35_F.txt,2797.0,3.2735795974731445
Ta44_F.txt,3487.0,5.600639343261719
S6.1.txt,112.75,0.3519167900085449
ABZ8_F.txt,1055.25,1.7159693241119385
Ta70_F.txt,4624.5,15.068631410598755
LA01_G.txt,766.75,0.4313170909881592
Ta24_F.txt,2953.0,2.667285680770874
LA40_S.txt,1919.5,1.087785005569458
Ta51_F.txt,3947.0,8.516746520996094
