Instance,Makespan
"JobShopInstance(name=Ta09_F.txt, num_jobs=15, num_machines=15)",1890.0
"JobShopInstance(name=Ta10_F.txt, num_jobs=15, num_machines=15)",2207.0
"JobShopInstance(name=Ta11_F.txt, num_jobs=20, num_machines=15)",2412.0
"JobShopInstance(name=Ta12_F.txt, num_jobs=20, num_machines=15)",2202.0
"JobShopInstance(name=Ta13_F.txt, num_jobs=20, num_machines=15)",2419.0
"JobShopInstance(name=Ta14_F.txt, num_jobs=20, num_machines=15)",2055.0
"JobShopInstance(name=Ta15_F.txt, num_jobs=20, num_machines=15)",2075.0
"JobShopInstance(name=Ta16_F.txt, num_jobs=20, num_machines=15)",2223.0
"JobShopInstance(name=Ta17_F.txt, num_jobs=20, num_machines=15)",2380.0
"JobShopInstance(name=Ta18_F.txt, num_jobs=20, num_machines=15)",2167.0
"JobShopInstance(name=Ta19_F.txt, num_jobs=20, num_machines=15)",2202.0
"JobShopInstance(name=Ta20_F.txt, num_jobs=20, num_machines=15)",2259.0
"JobShopInstance(name=Ta21_F.txt, num_jobs=20, num_machines=20)",2820.0
"JobShopInstance(name=Ta22_F.txt, num_jobs=20, num_machines=20)",2475.0
"JobShopInstance(name=Ta23_F.txt, num_jobs=20, num_machines=20)",2265.0
"JobShopInstance(name=Ta24_F.txt, num_jobs=20, num_machines=20)",2801.0
"JobShopInstance(name=Ta25_F.txt, num_jobs=20, num_machines=20)",2709.0
"JobShopInstance(name=Ta26_F.txt, num_jobs=20, num_machines=20)",2829.0
"JobShopInstance(name=Ta27_F.txt, num_jobs=20, num_machines=20)",2799.0
"JobShopInstance(name=Ta28_F.txt, num_jobs=20, num_machines=20)",2505.0
"JobShopInstance(name=Ta29_F.txt, num_jobs=20, num_machines=20)",2773.0
"JobShopInstance(name=Ta30_F.txt, num_jobs=20, num_machines=20)",2744.0
"JobShopInstance(name=Ta31_F.txt, num_jobs=30, num_machines=15)",2743.0
"JobShopInstance(name=Ta32_F.txt, num_jobs=30, num_machines=15)",2776.0
"JobShopInstance(name=Ta33_F.txt, num_jobs=30, num_machines=15)",3097.0
"JobShopInstance(name=Ta34_F.txt, num_jobs=30, num_machines=15)",2772.0
"JobShopInstance(name=Ta35_F.txt, num_jobs=30, num_machines=15)",2907.0
"JobShopInstance(name=Ta36_F.txt, num_jobs=30, num_machines=15)",2916.0
"JobShopInstance(name=Ta37_F.txt, num_jobs=30, num_machines=15)",2874.0
"JobShopInstance(name=Ta38_F.txt, num_jobs=30, num_machines=15)",2596.0
"JobShopInstance(name=Ta39_F.txt, num_jobs=30, num_machines=15)",2815.0
"JobShopInstance(name=Ta40_F.txt, num_jobs=30, num_machines=15)",2424.0
"JobShopInstance(name=Ta41_F.txt, num_jobs=30, num_machines=20)",3144.0
"JobShopInstance(name=Ta42_F.txt, num_jobs=30, num_machines=20)",3401.0
"JobShopInstance(name=Ta43_F.txt, num_jobs=30, num_machines=20)",3230.0
"JobShopInstance(name=Ta44_F.txt, num_jobs=30, num_machines=20)",3204.0
"JobShopInstance(name=Ta45_F.txt, num_jobs=30, num_machines=20)",3662.0
"JobShopInstance(name=Ta46_F.txt, num_jobs=30, num_machines=20)",3642.0
"JobShopInstance(name=Ta47_F.txt, num_jobs=30, num_machines=20)",3373.0
"JobShopInstance(name=Ta48_F.txt, num_jobs=30, num_machines=20)",3106.0
"JobShopInstance(name=Ta49_F.txt, num_jobs=30, num_machines=20)",3288.0
"JobShopInstance(name=Ta50_F.txt, num_jobs=30, num_machines=20)",2921.0
"JobShopInstance(name=Ta51_F.txt, num_jobs=50, num_machines=15)",3949.0
"JobShopInstance(name=Ta52_F.txt, num_jobs=50, num_machines=15)",4396.0
"JobShopInstance(name=Ta53_F.txt, num_jobs=50, num_machines=15)",3500.0
"JobShopInstance(name=Ta54_F.txt, num_jobs=50, num_machines=15)",3980.0
"JobShopInstance(name=Ta55_F.txt, num_jobs=50, num_machines=15)",3803.0
"JobShopInstance(name=Ta56_F.txt, num_jobs=50, num_machines=15)",4219.0
"JobShopInstance(name=Ta57_F.txt, num_jobs=50, num_machines=15)",3994.0
"JobShopInstance(name=Ta58_F.txt, num_jobs=50, num_machines=15)",3995.0
"JobShopInstance(name=Ta59_F.txt, num_jobs=50, num_machines=15)",4156.0
"JobShopInstance(name=Ta60_F.txt, num_jobs=50, num_machines=15)",3416.0
"JobShopInstance(name=Ta61_F.txt, num_jobs=50, num_machines=20)",4918.0
"JobShopInstance(name=Ta62_F.txt, num_jobs=50, num_machines=20)",4298.0
"JobShopInstance(name=Ta63_F.txt, num_jobs=50, num_machines=20)",3853.0
"JobShopInstance(name=Ta64_F.txt, num_jobs=50, num_machines=20)",4073.0
"JobShopInstance(name=Ta65_F.txt, num_jobs=50, num_machines=20)",4295.0
"JobShopInstance(name=Ta66_F.txt, num_jobs=50, num_machines=20)",4478.0
"JobShopInstance(name=Ta67_F.txt, num_jobs=50, num_machines=20)",4412.0
"JobShopInstance(name=Ta68_F.txt, num_jobs=50, num_machines=20)",4440.0
"JobShopInstance(name=Ta69_F.txt, num_jobs=50, num_machines=20)",4359.0
"JobShopInstance(name=Ta70_F.txt, num_jobs=50, num_machines=20)",4500.0
"JobShopInstance(name=Ta71_F.txt, num_jobs=100, num_machines=20)",6823.0
"JobShopInstance(name=Ta72_F.txt, num_jobs=100, num_machines=20)",6957.0
"JobShopInstance(name=Ta73_F.txt, num_jobs=100, num_machines=20)",7363.0
"JobShopInstance(name=Ta74_F.txt, num_jobs=100, num_machines=20)",6602.0
"JobShopInstance(name=Ta75_F.txt, num_jobs=100, num_machines=20)",7056.0
"JobShopInstance(name=Ta76_F.txt, num_jobs=100, num_machines=20)",6959.0
"JobShopInstance(name=Ta77_F.txt, num_jobs=100, num_machines=20)",7204.0
"JobShopInstance(name=Ta78_F.txt, num_jobs=100, num_machines=20)",6659.0
"JobShopInstance(name=Ta79_F.txt, num_jobs=100, num_machines=20)",7078.0
"JobShopInstance(name=Ta80_F.txt, num_jobs=100, num_machines=20)",6845.0
