Instance,Makespan
"JobShopInstance(name=Ta09_F.txt, num_jobs=15, num_machines=15)",4194.0
"JobShopInstance(name=Ta10_F.txt, num_jobs=15, num_machines=15)",3831.0
"JobShopInstance(name=Ta11_F.txt, num_jobs=20, num_machines=15)",4243.0
"JobShopInstance(name=Ta12_F.txt, num_jobs=20, num_machines=15)",3834.0
"JobShopInstance(name=Ta13_F.txt, num_jobs=20, num_machines=15)",4521.0
"JobShopInstance(name=Ta14_F.txt, num_jobs=20, num_machines=15)",4371.0
"JobShopInstance(name=Ta15_F.txt, num_jobs=20, num_machines=15)",3795.0
"JobShopInstance(name=Ta16_F.txt, num_jobs=20, num_machines=15)",4245.0
"JobShopInstance(name=Ta17_F.txt, num_jobs=20, num_machines=15)",4110.0
"JobShopInstance(name=Ta18_F.txt, num_jobs=20, num_machines=15)",4675.0
"JobShopInstance(name=Ta19_F.txt, num_jobs=20, num_machines=15)",3624.0
"JobShopInstance(name=Ta20_F.txt, num_jobs=20, num_machines=15)",4874.0
"JobShopInstance(name=Ta21_F.txt, num_jobs=20, num_machines=20)",5168.0
"JobShopInstance(name=Ta22_F.txt, num_jobs=20, num_machines=20)",6165.0
"JobShopInstance(name=Ta23_F.txt, num_jobs=20, num_machines=20)",5242.0
"JobShopInstance(name=Ta24_F.txt, num_jobs=20, num_machines=20)",5306.0
"JobShopInstance(name=Ta25_F.txt, num_jobs=20, num_machines=20)",6783.0
"JobShopInstance(name=Ta26_F.txt, num_jobs=20, num_machines=20)",6019.0
"JobShopInstance(name=Ta27_F.txt, num_jobs=20, num_machines=20)",6357.0
"JobShopInstance(name=Ta28_F.txt, num_jobs=20, num_machines=20)",4865.0
"JobShopInstance(name=Ta29_F.txt, num_jobs=20, num_machines=20)",5479.0
"JobShopInstance(name=Ta30_F.txt, num_jobs=20, num_machines=20)",6404.0
"JobShopInstance(name=Ta31_F.txt, num_jobs=30, num_machines=15)",5429.0
"JobShopInstance(name=Ta32_F.txt, num_jobs=30, num_machines=15)",5427.0
"JobShopInstance(name=Ta33_F.txt, num_jobs=30, num_machines=15)",5825.0
"JobShopInstance(name=Ta34_F.txt, num_jobs=30, num_machines=15)",5687.0
"JobShopInstance(name=Ta35_F.txt, num_jobs=30, num_machines=15)",6123.0
"JobShopInstance(name=Ta36_F.txt, num_jobs=30, num_machines=15)",5847.0
"JobShopInstance(name=Ta37_F.txt, num_jobs=30, num_machines=15)",5738.0
"JobShopInstance(name=Ta38_F.txt, num_jobs=30, num_machines=15)",6280.0
"JobShopInstance(name=Ta39_F.txt, num_jobs=30, num_machines=15)",4927.0
"JobShopInstance(name=Ta40_F.txt, num_jobs=30, num_machines=15)",5876.0
"JobShopInstance(name=Ta41_F.txt, num_jobs=30, num_machines=20)",9387.0
"JobShopInstance(name=Ta42_F.txt, num_jobs=30, num_machines=20)",8289.0
"JobShopInstance(name=Ta43_F.txt, num_jobs=30, num_machines=20)",6020.0
"JobShopInstance(name=Ta44_F.txt, num_jobs=30, num_machines=20)",9814.0
"JobShopInstance(name=Ta45_F.txt, num_jobs=30, num_machines=20)",9298.0
"JobShopInstance(name=Ta46_F.txt, num_jobs=30, num_machines=20)",7590.0
"JobShopInstance(name=Ta47_F.txt, num_jobs=30, num_machines=20)",7818.0
"JobShopInstance(name=Ta48_F.txt, num_jobs=30, num_machines=20)",7531.0
"JobShopInstance(name=Ta49_F.txt, num_jobs=30, num_machines=20)",6736.0
"JobShopInstance(name=Ta50_F.txt, num_jobs=30, num_machines=20)",7562.0
"JobShopInstance(name=Ta51_F.txt, num_jobs=50, num_machines=15)",9555.0
"JobShopInstance(name=Ta52_F.txt, num_jobs=50, num_machines=15)",7403.0
"JobShopInstance(name=Ta53_F.txt, num_jobs=50, num_machines=15)",7007.0
"JobShopInstance(name=Ta54_F.txt, num_jobs=50, num_machines=15)",7013.0
"JobShopInstance(name=Ta55_F.txt, num_jobs=50, num_machines=15)",7984.0
"JobShopInstance(name=Ta56_F.txt, num_jobs=50, num_machines=15)",7793.0
"JobShopInstance(name=Ta57_F.txt, num_jobs=50, num_machines=15)",8451.0
"JobShopInstance(name=Ta58_F.txt, num_jobs=50, num_machines=15)",7675.0
"JobShopInstance(name=Ta59_F.txt, num_jobs=50, num_machines=15)",7493.0
"JobShopInstance(name=Ta60_F.txt, num_jobs=50, num_machines=15)",6657.0
"JobShopInstance(name=Ta61_F.txt, num_jobs=50, num_machines=20)",11402.0
"JobShopInstance(name=Ta62_F.txt, num_jobs=50, num_machines=20)",10576.0
"JobShopInstance(name=Ta63_F.txt, num_jobs=50, num_machines=20)",10962.0
"JobShopInstance(name=Ta64_F.txt, num_jobs=50, num_machines=20)",9842.0
"JobShopInstance(name=Ta65_F.txt, num_jobs=50, num_machines=20)",11319.0
"JobShopInstance(name=Ta66_F.txt, num_jobs=50, num_machines=20)",10489.0
"JobShopInstance(name=Ta67_F.txt, num_jobs=50, num_machines=20)",10208.0
"JobShopInstance(name=Ta68_F.txt, num_jobs=50, num_machines=20)",10153.0
"JobShopInstance(name=Ta69_F.txt, num_jobs=50, num_machines=20)",10621.0
"JobShopInstance(name=Ta70_F.txt, num_jobs=50, num_machines=20)",10601.0
"JobShopInstance(name=Ta71_F.txt, num_jobs=100, num_machines=20)",18801.0
"JobShopInstance(name=Ta72_F.txt, num_jobs=100, num_machines=20)",19135.0
"JobShopInstance(name=Ta73_F.txt, num_jobs=100, num_machines=20)",20507.0
"JobShopInstance(name=Ta74_F.txt, num_jobs=100, num_machines=20)",17723.0
"JobShopInstance(name=Ta75_F.txt, num_jobs=100, num_machines=20)",19949.0
"JobShopInstance(name=Ta76_F.txt, num_jobs=100, num_machines=20)",20120.0
"JobShopInstance(name=Ta77_F.txt, num_jobs=100, num_machines=20)",20282.0
"JobShopInstance(name=Ta78_F.txt, num_jobs=100, num_machines=20)",19950.0
"JobShopInstance(name=Ta79_F.txt, num_jobs=100, num_machines=20)",20774.0
"JobShopInstance(name=Ta80_F.txt, num_jobs=100, num_machines=20)",17510.0
